SalesOrder,SalesOrderType,SalesOrganization,DistributionChannel,OrganizationDivision,SalesGroup,SalesOffice,SalesDistrict,SoldToParty,CreationDate,CreatedByUser,LastChangeDate,SenderBusinessSystemName,ExternalDocumentID,LastChangeDateTime,ExternalDocLastChangeDateTime,PurchaseOrderByCustomer,PurchaseOrderByShipToParty,CustomerPurchaseOrderType,CustomerPurchaseOrderDate,SalesOrderDate,TotalNetAmount,OverallDeliveryStatus,TotalBlockStatus,OverallOrdReltdBillgStatus,OverallSDDocReferenceStatus,TransactionCurrency,SDDocumentReason,PricingDate,PriceDetnExchangeRate,BillingPlan,RequestedDeliveryDate,ShippingCondition,CompleteDeliveryIsDefined,ShippingType,HeaderBillingBlockReason,DeliveryBlockReason,DeliveryDateTypeRule,IncotermsClassification,IncotermsTransferLocation,IncotermsLocation1,IncotermsLocation2,IncotermsVersion,CustomerPriceGroup,PriceListType,CustomerPaymentTerms,PaymentMethod,FixedValueDate,AssignmentReference,ReferenceSDDocument,ReferenceSDDocumentCategory,AccountingDocExternalReference,CustomerAccountAssignmentGroup,AccountingExchangeRate,CorrespncExternalReference,POCorrespncExternalReference,CustomerConditionGroup1,CustomerConditionGroup2,CustomerConditionGroup3,CustomerConditionGroup4,CustomerConditionGroup5,CustomerGroup,AdditionalCustomerGroup1,AdditionalCustomerGroup2,AdditionalCustomerGroup3,AdditionalCustomerGroup4,AdditionalCustomerGroup5,SlsDocIsRlvtForProofOfDeliv,CustomerTaxClassification1,CustomerTaxClassification2,CustomerTaxClassification3,CustomerTaxClassification4,CustomerTaxClassification5,CustomerTaxClassification6,CustomerTaxClassification7,CustomerTaxClassification8,CustomerTaxClassification9,TaxDepartureCountry,VATRegistrationCountry,SalesOrderApprovalReason,SalesDocApprovalStatus,OverallSDProcessStatus,TotalCreditCheckStatus,OverallTotalDeliveryStatus,OverallSDDocumentRejectionSts,BillingDocumentDate,ContractAccount,AdditionalValueDays,CustomerPurchaseOrderSuplmnt,ServicesRenderedDate
9900000000,BV,1010,10,00,,,US0003,USCU_L10,/Date(1520812800000)/,S4H_SD_DEM,/Date(1520812800000)/,,,9900000000,,4500043627,,,/Date(1508803200000)/,/Date(1508371200000)/,22225.00,,C,,A,EUR,008,/Date(1522886400000)/,1.00000,,/Date(1511740800000)/,9900000000,false,,,,,DDP,Palo Alto,Walldorf,,,,,NT30,,,,,,,01,0.00000,,,9900000000,9900000000,9900000000,9900000000,9900000000,02,,,,,,false,,,,,,,,,,,,,,C,,C,A,/Date(1521936000000)/,,0,,
9900000001,CCFU,1710,10,00,,,US0006,USCU_S17,/Date(1511740800000)/,S4H_PP,/Date(1521590400000)/,,,9900000001,,4500044821,,,/Date(1507507200000)/,/Date(1508112000000)/,83517.00,,C,C,,USD,,/Date(1522886400000)/,1.00000,,/Date(1515110400000)/,9900000001,false,,,,,EXW,Cost & Freight,Palo Alto,,,,,0001,,,,40,C,,01,0.00000,,,9900000001,9900000001,9900000001,9900000001,9900000001,Z1,,,,,,true,,,,,,,,,,,,,,C,,C,C,/Date(1507420800000)/,,0,,
9900000002,OR,1010,10,00,,,US0003,17100100,/Date(1510876800000)/,S4H_TM_DEM,/Date(1520812800000)/,,,9900000002,,4500068728,,,/Date(1507507200000)/,/Date(1511136000000)/,21960.00,,C,,,EUR,,/Date(1510790400000)/,1.00000,,/Date(1521590400000)/,9900000002,false,,,,,DDP,Walldorf,Tarrant,,,C1,,NT60,E,,,40000002,B,,01,0.00000,,,9900000002,9900000002,9900000002,9900000002,9900000002,02,,,,,,false,,,,,,,,,,,,,,C,D,,B,/Date(1511136000000)/,,0,,
9900000003,CCFU,1710,10,00,,,US0003,17100005,/Date(1521504000000)/,S4H_TM_TP,/Date(1508112000000)/,,,9900000003,,4500048811,,,/Date(1521504000000)/,/Date(1513641600000)/,25392.00,,A,,,USD,,/Date(1521504000000)/,1.00000,,/Date(1509580800000)/,9900000003,false,,,,,DDP,Site,Cost & Freight,,,,,NT60,,,,54,G,,01,0.00000,,,9900000003,9900000003,9900000003,9900000003,9900000003,01,,,,,,false,,,,,,,,,,,,,,C,D,C,B,/Date(1507593600000)/,,0,,
9900000004,BV,1010,10,00,,,US0004,USCU_L05,/Date(1521072000000)/,S4H_SD_DEM,/Date(1521590400000)/,,,9900000004,,4500056173,,,/Date(1507248000000)/,/Date(1507507200000)/,5760.00,,A,C,,EUR,008,/Date(1510531200000)/,1.00000,,/Date(1521158400000)/,9900000004,false,,,,,DDP,Site,Tarrant,,,,,NT30,,,,51,B,,01,0.00000,,,9900000004,9900000004,9900000004,9900000004,9900000004,Z1,,,,,,false,,,,,,,,,,,,,,C,D,C,C,/Date(1507248000000)/,,0,,
9900000005,CCFU,1710,10,00,,,,USCU_S01,/Date(1509926400000)/,S4H_PP,/Date(1520812800000)/,,,9900000005,,4500044999,,,/Date(1507507200000)/,/Date(1521158400000)/,18040.00,,C,,A,USD,008,/Date(1508716800000)/,1.00000,,/Date(1520899200000)/,9900000005,false,,,,,CFR,San Francisco,Tarrant,,,,,NT30,E,,,,B,,01,0.00000,,,9900000005,9900000005,9900000005,9900000005,9900000005,Z1,,,,,,true,,,,,,,,,,,,,,C,,,B,/Date(1521504000000)/,,0,,
9900000006,OR,1010,10,00,,,,17100005,/Date(1509580800000)/,S4H_CO,/Date(1571702400000)/,,,9900000006,,4500046996,,,/Date(1507248000000)/,/Date(1508716800000)/,58719.00,,A,C,,USD,006,/Date(1507593600000)/,1.00000,,/Date(1521072000000)/,9900000006,false,,,,,DDP,Site,San Francisco,,,C1,,0001,E,,,51,G,,01,0.00000,,,9900000006,9900000006,9900000006,9900000006,9900000006,Z2,,,,,,true,,,,,,,,,,,,,,C,B,C,A,/Date(1520812800000)/,,0,,
9900000007,OR,1010,10,00,,,US0004,USCU_L06,/Date(1521158400000)/,S4H_TM_DEM,/Date(1509580800000)/,,,9900000007,,4500046731,,,/Date(1521504000000)/,/Date(1522886400000)/,62124.00,,,C,A,USD,008,/Date(1520985600000)/,1.00000,,/Date(1507507200000)/,9900000007,false,,,,,EXW,San Francisco,Palo Alto,,,C1,,0004,,,,,B,,01,0.00000,,,9900000007,9900000007,9900000007,9900000007,9900000007,Z2,,,,,,true,,,,,,,,,,,,,,C,B,C,A,/Date(1521590400000)/,,0,,
9900000008,BV,1010,10,00,,,US0004,USCU_L09,/Date(1521072000000)/,BPINST,/Date(1520812800000)/,,,9900000008,,4500046048,,,/Date(1509580800000)/,/Date(1507248000000)/,112868.00,,A,,A,USD,008,/Date(1520812800000)/,1.00000,,/Date(1515110400000)/,9900000008,false,,,,,DDP,Walldorf,San Jose,,,,,0004,,,,40,,,01,0.00000,,,9900000008,9900000008,9900000008,9900000008,9900000008,Z1,,,,,,false,,,,,,,,,,,,,,C,D,,C,/Date(1507507200000)/,,0,,
9900000009,CBMO,1010,10,00,,,US0004,USCU_L01,/Date(1510876800000)/,S4H_TM_TP,/Date(1520812800000)/,,,9900000009,,4500044942,,,/Date(1507248000000)/,/Date(1508371200000)/,8775.00,,A,,A,EUR,,/Date(1522886400000)/,1.00000,,/Date(1508803200000)/,9900000009,false,,,,,CFR,Cost & Freight,Palo Alto,,,,,0004,,,,40000002,C,,01,0.00000,,,9900000009,9900000009,9900000009,9900000009,9900000009,Z1,,,,,,true,,,,,,,,,,,,,,C,,,B,/Date(1511136000000)/,,0,,
